"Bill Type",Carrier,"AWB Number","Shipment Status","Seller Company Name","Shipment ID","Order ID","Payment Type",Pincode,City,Zone,"Origin City","Origin State","Destination City","Destination State","Pickup Pincode","Charged Weight","Freight Charges","COD Charges",IGST,SGST,CGST,"Grand Total","Order Type"
Forward,"Air Xpressbees 0.5 K.G",14345160225530,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665253,#DERMA2938972,COD,503001,Nizamabad,z6,AHMEDABAD,GUJARAT,Nizamabad,TELANGANA,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225531,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665254,#DERMA2939369,COD,246725,DHAMPUR,z6,AHMEDABAD,GUJARAT,DHAMPUR,"UTTAR PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225532,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665255,#DERMA2938684,COD,110086,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225533,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665256,#DERMA2939182,COD,133001,AMBALA,z6,AHMEDABAD,GUJARAT,AMBALA,HARYANA,380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225534,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665257,#DERMA2938246,COD,713130,KATWA,z6,AHMEDABAD,GUJARAT,KATWA,"WEST BENGAL",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225535,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665258,#DERMA2938777,COD,205001,MAINPURI,z6,AHMEDABAD,GUJARAT,MAINPURI,"UTTAR PRADESH",380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225536,"In Transit","CLOUD WELLNESS PRIVATE LIMITED",24665259,#DERMA2939751,COD,400003,MUMBAI,z3,AHMEDABAD,GUJARAT,MUMBAI,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225537,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665260,#DERMA2938983,COD,140401,RAJPURA,z6,AHMEDABAD,GUJARAT,RAJPURA,PUNJAB,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225544,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665261,#DERMA2938953,COD,184121,JAMMU,z5,AHMEDABAD,GUJARAT,JAMMU,"JAMMU AND KASHMIR",380018,0.5,69.49,0,0,6.25,6.25,81.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225538,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665262,#DERMA2938668,COD,415523,PHALTAN,z3,AHMEDABAD,GUJARAT,PHALTAN,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225540,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665263,#DERMA2938526,COD,413002,SOLAPUR,z3,AHMEDABAD,GUJARAT,SOLAPUR,MAHARASHTRA,380018,0.5,24.58,13.56,0,3.43,3.43,45,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225539,Rto,"CLOUD WELLNESS PRIVATE LIMITED",24665264,#DERMA2938619,COD,473001,GUNA,z6,AHMEDABAD,GUJARAT,GUNA,"MADHYA PRADESH",380018,0.5,58.47,0,0,5.26,5.26,68.99,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225543,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665266,#DERMA2938301,COD,110086,"NEW DELHI",z6,AHMEDABAD,GUJARAT,"NEW DELHI",DELHI,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225541,Delivered,"CLOUD WELLNESS PRIVATE LIMITED",24665267,#DERMA2938397,COD,201001,"DELHI NCR",z6,AHMEDABAD,GUJARAT,"DELHI NCR",DELHI,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225542,Exception,"CLOUD WELLNESS PRIVATE LIMITED",24665268,#DERMA2938579,COD,496445,SARANGARH,z6,AHMEDABAD,GUJARAT,SARANGARH,CHHATTISGARH,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
Forward,"Air Xpressbees 0.5 K.G",14345160225545,Exception,"CLOUD WELLNESS PRIVATE LIMITED",24665269,#DERMA2938464,COD,800002,PATNA,z6,AHMEDABAD,GUJARAT,PATNA,BIHAR,380018,0.5,36.44,13.56,0,4.5,4.5,59,ecom
